"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","203","[NEG-001] [CONTRACT] GET /users/999999 returns 404 for non-existent user","api-security","Sat Sep 12 10:00:13 UTC 2026","passed","Sat Sep 12 10:00:13 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","210","[RBAC-006] [FINDING] Unauthenticated POST /products/add [FINDING: write operation requires no auth]","api-security","Sat Sep 12 10:00:11 UTC 2026","passed","Sat Sep 12 10:00:12 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","1624","[NEG-005] [FINDING] GET /users/-1 must return 400 for invalid negative ID [DummyJSON returns 404: minor contract gap]","api-security","Sat Sep 12 10:00:14 UTC 2026","failed","Sat Sep 12 10:00:16 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","190","GET /carts/999999 returns 404 for non-existent cart","api-security","Sat Sep 12 10:00:19 UTC 2026","passed","Sat Sep 12 10:00:19 UTC 2026","Negative, Boundary and Error Scenarios > Non-Existent Resources","negative/boundary-errors.spec.ts","",""
"","245","login response does not expose sensitive fields","api-security","Sat Sep 12 09:59:55 UTC 2026","passed","Sat Sep 12 09:59:55 UTC 2026","Authentication and Identity > Login","auth/authentication.spec.ts","",""
"","205","[FINDING] GET /users/{id} exposes SSN","api-security","Sat Sep 12 10:00:36 UTC 2026","passed","Sat Sep 12 10:00:36 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","281","GET /users/1.5 — float ID is invalid","api-security","Sat Sep 12 10:00:21 UTC 2026","passed","Sat Sep 12 10:00:21 UTC 2026","Negative, Boundary and Error Scenarios > Invalid ID Types and Boundary Values","negative/boundary-errors.spec.ts","",""
"","250","login with non-existent username returns 400","api-security","Sat Sep 12 09:59:55 UTC 2026","passed","Sat Sep 12 09:59:55 UTC 2026","Authentication and Identity > Login","auth/authentication.spec.ts","",""
"","195","[AUTH-004] [CONTRACT] GET /auth/me with valid token returns current user profile","api-security","Sat Sep 12 10:00:02 UTC 2026","passed","Sat Sep 12 10:00:02 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","206","user can update their own record via PUT /users/{ownId}","api-security","Sat Sep 12 10:00:29 UTC 2026","passed","Sat Sep 12 10:00:29 UTC 2026","Resource Ownership and Cross-User Access > User Record Mutation Ownership","ownership/resource-ownership.spec.ts","",""
"","239","XSS payload in login username does not reflect script tags","api-security","Sat Sep 12 10:00:21 UTC 2026","passed","Sat Sep 12 10:00:21 UTC 2026","Negative, Boundary and Error Scenarios > Injection and Malformed Payloads","negative/boundary-errors.spec.ts","",""
"","204","[FINDING] user can read another user's posts without auth","api-security","Sat Sep 12 10:00:29 UTC 2026","passed","Sat Sep 12 10:00:29 UTC 2026","Resource Ownership and Cross-User Access > Posts Ownership","ownership/resource-ownership.spec.ts","",""
"","212","empty username and password returns 400","api-security","Sat Sep 12 09:59:54 UTC 2026","passed","Sat Sep 12 09:59:55 UTC 2026","Authentication and Identity > Login","auth/authentication.spec.ts","",""
"","247","[EXP-002] [CONTRACT] Login response does not expose password in body","api-security","Sat Sep 12 10:00:13 UTC 2026","passed","Sat Sep 12 10:00:13 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","1514","[AUTH-001] [CONTRACT] Valid credentials return access token and refresh token","api-security","Sat Sep 12 10:00:00 UTC 2026","passed","Sat Sep 12 10:00:02 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","206","GET /auth/users/{id} requires valid token","api-security","Sat Sep 12 10:00:34 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Role-Based Authorization > Authenticated User Routes (/auth/ prefix)","rbac/role-authorization.spec.ts","",""
"","207","[FINDING] unauthenticated PUT /users/{id} succeeds","api-security","Sat Sep 12 10:00:29 UTC 2026","passed","Sat Sep 12 10:00:30 UTC 2026","Resource Ownership and Cross-User Access > User Record Mutation Ownership","ownership/resource-ownership.spec.ts","",""
"","202","[NEG-004] [CONTRACT] GET /users/0 returns 400 or 404 — ID 0 is not a valid user","api-security","Sat Sep 12 10:00:14 UTC 2026","passed","Sat Sep 12 10:00:14 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","255","login success response does not contain password","api-security","Sat Sep 12 10:00:37 UTC 2026","passed","Sat Sep 12 10:00:37 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","192","[AUTH-005] [CONTRACT] GET /auth/me without token returns 401","api-security","Sat Sep 12 10:00:02 UTC 2026","passed","Sat Sep 12 10:00:03 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","211","[FINDING] unauthenticated DELETE /products/{id} succeeds","api-security","Sat Sep 12 10:00:33 UTC 2026","passed","Sat Sep 12 10:00:34 UTC 2026","Role-Based Authorization > Write Operations — Authorization Enforcement","rbac/role-authorization.spec.ts","",""
"","297","[FINDING] PATCH /auth/login should return 405 Method Not Allowed — DummyJSON returns 401","api-security","Sat Sep 12 10:00:23 UTC 2026","failed","Sat Sep 12 10:00:23 UTC 2026","Negative, Boundary and Error Scenarios > HTTP Method Restrictions","negative/boundary-errors.spec.ts","",""
"","188","GET /products/999999 returns 404 for non-existent product","api-security","Sat Sep 12 10:00:19 UTC 2026","passed","Sat Sep 12 10:00:19 UTC 2026","Negative, Boundary and Error Scenarios > Non-Existent Resources","negative/boundary-errors.spec.ts","",""
"","188","GET /users/abc returns 400 for non-numeric ID","api-security","Sat Sep 12 10:00:19 UTC 2026","passed","Sat Sep 12 10:00:19 UTC 2026","Negative, Boundary and Error Scenarios > Invalid ID Types and Boundary Values","negative/boundary-errors.spec.ts","",""
"","25","[HYPOTHESIS] regular user listing all users — expected 403 in production","api-security","Sat Sep 12 10:00:30 UTC 2026","passed","Sat Sep 12 10:00:30 UTC 2026","Role-Based Authorization > User Directory Access","rbac/role-authorization.spec.ts","",""
"","275","[FINDING] GET /users/-1 should return 400 for invalid negative ID — DummyJSON returns 404","api-security","Sat Sep 12 10:00:20 UTC 2026","failed","Sat Sep 12 10:00:20 UTC 2026","Negative, Boundary and Error Scenarios > Invalid ID Types and Boundary Values","negative/boundary-errors.spec.ts","",""
"","289","[FINDING] invalid refresh token should return 401 — DummyJSON returns 403","api-security","Sat Sep 12 09:59:59 UTC 2026","failed","Sat Sep 12 10:00:00 UTC 2026","Authentication and Identity > Token Refresh","auth/authentication.spec.ts","",""
